Player,POS,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Matt Breida,RB,15,-23.81,-1.5876,-0.3133,-0.0174,0.0000,0.0000,0.0000,-14.13,-0.2569,-9.68,-0.5695,-0.4610
Parris Campbell,WR,8,-24.17,-3.0208,-0.8950,-0.0177,-1.5268,0.0000,0.0000,0.00,0.0000,-22.64,-1.1320,-0.8385
Case Keenum,QB,2,-24.18,-12.0921,-0.4397,-0.0158,-22.5645,-0.6637,-0.4257,-1.62,-0.8099,0.00,0.0000,0.0000
Jonathan Mingo,WR,15,-24.79,-1.6529,-0.2917,-0.0175,0.0000,0.0000,0.0000,0.00,0.0000,-24.79,-0.5766,-0.2917
Devin Singletary,RB,19,-24.98,-1.3147,-0.0873,-0.0163,1.8802,1.8802,1.8802,-24.11,-0.1013,-2.75,-0.0723,-0.0585
Cedric Tillman,WR,11,-25.86,-2.3510,-0.5747,-0.0163,0.0000,0.0000,0.0000,0.25,0.2470,-26.11,-1.2433,-0.5934
Will Levis,QB,9,-26.55,-2.9495,-0.0948,-0.0200,-17.1399,-0.1150,-0.0672,-9.41,-0.3762,0.00,0.0000,0.0000
Travis Etienne,RB,17,-26.62,-1.5658,-0.0783,-0.0187,0.0000,0.0000,0.0000,-36.95,-0.1384,10.33,0.1781,0.1415
Tank Bigsby,RB,13,-27.30,-2.0996,-0.5055,-0.0192,0.0000,0.0000,0.0000,-13.55,-0.2710,-13.75,-13.7454,-3.4363
Dalvin Cook,RB,15,-27.97,-1.8644,-0.2944,-0.0095,0.0000,0.0000,0.0000,-25.49,-0.3399,-2.48,-0.1651,-0.1238
Chuba Hubbard,RB,17,-28.15,-1.6560,-0.0998,-0.0199,0.0000,0.0000,0.0000,-17.05,-0.0716,-11.10,-0.2847,-0.2523
Joshua Kelley,RB,17,-28.74,-1.6907,-0.2415,-0.0205,0.0000,0.0000,0.0000,-23.28,-0.2176,-5.46,-0.6827,-0.4551
Tony Pollard,RB,18,-29.85,-1.6582,-0.0870,-0.0195,0.0000,0.0000,0.0000,-21.64,-0.0810,-8.21,-0.1324,-0.1080
Najee Harris,RB,18,-29.96,-1.6646,-0.0973,-0.0215,0.0000,0.0000,0.0000,-29.13,-0.1091,-0.83,-0.0268,-0.0203
Tim Boyle,QB,3,-30.74,-10.2453,-0.3795,-0.0222,-33.4411,-0.6967,-0.4343,2.71,0.6763,0.00,0.0000,0.0000
Clayton Tune,QB,6,-32.90,-5.4840,-1.1346,-0.0238,-32.5271,-2.7106,-1.5489,-0.38,-0.0471,0.00,0.0000,0.0000
Rhamondre Stevenson,RB,12,-33.27,-2.7724,-0.1607,-0.0253,0.0000,0.0000,0.0000,-15.02,-0.0963,-18.25,-0.4802,-0.3578
Dorian Thompson-Robinson,QB,7,-33.45,-4.7782,-0.2655,-0.0210,-34.0967,-0.5683,-0.3044,0.65,0.0464,0.00,0.0000,0.0000
Jamaal Williams,RB,13,-34.17,-2.6283,-0.2712,-0.0240,0.0000,0.0000,0.0000,-26.25,-0.2476,-7.92,-0.4399,-0.3960
Alexander Mattison,RB,16,-36.12,-2.2575,-0.1613,-0.0264,0.0000,0.0000,0.0000,-30.82,-0.1712,-5.30,-0.1765,-0.1204
Kenny Pickett,QB,12,-37.70,-3.1420,-0.1030,-0.0270,-32.3950,-0.1612,-0.1000,-5.31,-0.1264,0.00,0.0000,0.0000
Miles Sanders,RB,16,-38.38,-2.3989,-0.2258,-0.0272,0.0000,0.0000,0.0000,-28.19,-0.2185,-10.19,-0.3775,-0.2486
Ezekiel Elliott,RB,17,-39.00,-2.2943,-0.1566,-0.0297,0.0000,0.0000,0.0000,-29.18,-0.1586,-9.82,-0.1926,-0.1511
Javonte Williams,RB,16,-39.84,-2.4902,-0.1449,-0.0298,0.0000,0.0000,0.0000,-35.11,-0.1618,-4.74,-0.1008,-0.0817
Bijan Robinson,RB,17,-41.30,-2.4296,-0.1377,-0.0296,0.0000,0.0000,0.0000,-27.77,-0.1298,-13.53,-0.2333,-0.1573
P.J. Walker,QB,5,-42.30,-8.4605,-0.3411,-0.0266,-36.4974,-0.6759,-0.3288,-5.81,-0.4465,0.00,0.0000,0.0000
Josh Jacobs,RB,13,-42.71,-3.2856,-0.1488,-0.0331,-1.0764,0.0000,0.0000,-41.54,-0.1783,-0.09,-0.0026,-0.0018
Dameon Pierce,RB,14,-42.79,-3.0565,-0.2593,-0.0280,0.0000,0.0000,0.0000,-43.96,-0.2970,1.17,0.0896,0.0685
Jerome Ford,RB,18,-49.47,-2.7484,-0.1767,-0.0311,0.0000,0.0000,0.0000,-42.08,-0.1976,-7.39,-0.1540,-0.1103
Austin Ekeler,RB,14,-49.49,-3.5347,-0.1956,-0.0352,0.0000,0.0000,0.0000,-38.17,-0.2132,-11.32,-0.2219,-0.1529
Tommy DeVito,QB,9,-51.98,-5.7756,-0.2429,-0.0380,-49.5641,-0.4348,-0.2785,-2.42,-0.0671,0.00,0.0000,0.0000
Desmond Ridder,QB,15,-52.86,-3.5240,-0.1196,-0.0379,-36.4526,-0.1464,-0.0939,-14.88,-0.2808,-1.52,-1.5244,-1.5244
Daniel Jones,QB,6,-57.32,-9.5536,-0.2866,-0.0419,-63.2089,-0.5853,-0.3951,5.89,0.1472,0.00,0.0000,0.0000
Saquon Barkley,RB,14,-60.61,-4.3292,-0.1974,-0.0443,0.0000,0.0000,0.0000,-52.54,-0.2127,-8.07,-0.1969,-0.1345
Mac Jones,QB,11,-61.97,-5.6336,-0.1670,-0.0472,-57.3493,-0.2560,-0.1662,-4.62,-0.1777,0.00,0.0000,0.0000
Joshua Dobbs,QB,13,-64.98,-4.9988,-0.1315,-0.0236,-78.3392,-0.2990,-0.1879,13.36,0.1734,0.00,0.0000,0.0000
Trevor Siemian,QB,5,-65.09,-13.0182,-0.3969,-0.0469,-58.2436,-0.6773,-0.3807,-6.85,-0.6225,0.00,0.0000,0.0000
Bailey Zappe,QB,10,-71.03,-7.1032,-0.3102,-0.0541,-75.5741,-0.5951,-0.3565,4.54,0.2672,0.00,0.0000,0.0000
Sam Howell,QB,17,-87.37,-5.1395,-0.1322,-0.0635,-110.7356,-0.2854,-0.1809,23.64,0.4924,-0.27,-0.2723,-0.2723
Zach Wilson,QB,12,-116.81,-9.7342,-0.2891,-0.0842,-98.4454,-0.4455,-0.2675,-18.37,-0.5101,0.00,0.0000,0.0000
Bryce Young,QB,16,-141.68,-8.8553,-0.2503,-0.1003,-163.7947,-0.5200,-0.3108,22.11,0.5669,0.00,0.0000,0.0000
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
